n_fold,k2,zeta,kappa,gamma,score,blk_cleans,blk_advs
0,1,1.9,10,1.0,20.0,37,20
0,2,1.9,10,1.0,22.0,37,22
0,3,1.9,10,1.0,22.0,36,23
0,4,1.9,10,1.0,21.0,36,22
0,5,1.9,10,1.0,19.0,36,20
0,6,1.9,10,1.0,20.0,36,21
0,7,1.9,10,1.0,21.0,36,22
0,8,1.9,10,1.0,20.0,35,22
0,9,1.9,10,1.0,17.0,35,19
0,10,1.9,10,1.0,17.0,35,19
0,11,1.9,10,1.0,18.0,35,20
0,12,1.9,10,1.0,18.0,35,20
0,13,1.9,10,1.0,18.0,35,20
0,14,1.9,10,1.0,18.0,34,21
0,15,1.9,10,1.0,16.0,34,19
0,16,1.9,10,1.0,15.0,34,18
0,16,1.0,10,1.0,5.0,5,37
0,16,1.1,10,1.0,6.0,6,37
0,16,1.2,10,1.0,7.0,7,37
0,16,1.3,10,1.0,8.0,8,37
0,16,1.4,10,1.0,12.0,12,37
0,16,1.5,10,1.0,13.0,13,37
0,16,1.6,10,1.0,15.0,15,37
0,16,1.7,10,1.0,15.0,15,37
0,16,1.8,10,1.0,16.0,16,37
0,16,1.9,10,1.0,17.0,17,37
0,16,2.0,10,1.0,19.0,19,37
0,16,2.1,10,1.0,21.0,21,37
0,16,2.2,10,1.0,22.0,22,37
0,16,2.3,10,1.0,23.0,23,37
0,16,2.4,10,1.0,24.0,24,37
0,16,2.5,10,1.0,25.0,25,37
0,16,2.6,10,1.0,24.0,26,35
0,16,2.7,10,1.0,24.0,28,33
0,16,2.8,10,1.0,24.0,28,33
0,16,2.9,10,1.0,23.0,28,32
0,16,2.9,5,1.0,0.0,33,4
0,16,2.9,6,1.0,1.0,33,5
0,16,2.9,7,1.0,1.0,32,6
0,16,2.9,8,1.0,1.0,32,6
0,16,2.9,9,1.0,1.0,31,7
0,16,2.9,10,1.0,1.0,28,10
0,16,2.9,10,0.5,0.0,37,0
0,16,2.9,10,0.6,2.0,37,2
0,16,2.9,10,0.7,2.0,35,4
0,16,2.9,10,0.8,1.0,33,5
0,16,2.9,10,0.9,1.0,32,6
0,16,2.9,10,1.0,1.0,28,10
1,1,2.9,10,1.0,25.0,37,25
1,2,2.9,10,1.0,23.0,37,23
1,3,2.9,10,1.0,24.0,37,24
1,4,2.9,10,1.0,23.0,37,23
1,5,2.9,10,1.0,22.0,37,22
1,6,2.9,10,1.0,24.0,37,24
1,7,2.9,10,1.0,24.0,36,25
1,8,2.9,10,1.0,25.0,36,26
1,9,2.9,10,1.0,25.0,36,26
1,10,2.9,10,1.0,25.0,36,26
1,11,2.9,10,1.0,23.0,35,25
1,12,2.9,10,1.0,23.0,35,25
1,13,2.9,10,1.0,22.0,35,24
1,14,2.9,10,1.0,22.0,35,24
1,15,2.9,10,1.0,21.0,34,24
1,16,2.9,10,1.0,21.0,34,24
1,16,1.0,10,1.0,3.0,3,37
1,16,1.1,10,1.0,3.0,3,37
1,16,1.2,10,1.0,3.0,3,37
1,16,1.3,10,1.0,5.0,5,37
1,16,1.4,10,1.0,8.0,8,37
1,16,1.5,10,1.0,9.0,9,37
1,16,1.6,10,1.0,10.0,10,37
1,16,1.7,10,1.0,11.0,11,37
1,16,1.8,10,1.0,12.0,12,37
1,16,1.9,10,1.0,12.0,12,37
1,16,2.0,10,1.0,12.0,12,37
1,16,2.1,10,1.0,15.0,15,37
1,16,2.2,10,1.0,15.0,15,37
1,16,2.3,10,1.0,17.0,17,37
1,16,2.4,10,1.0,17.0,17,37
1,16,2.5,10,1.0,19.0,19,37
1,16,2.6,10,1.0,21.0,21,37
1,16,2.7,10,1.0,22.0,23,36
1,16,2.8,10,1.0,23.0,24,36
1,16,2.9,10,1.0,23.0,24,36
1,16,2.9,5,1.0,0.0,28,9
1,16,2.9,6,1.0,0.0,26,11
1,16,2.9,7,1.0,1.0,25,13
1,16,2.9,8,1.0,1.0,25,13
1,16,2.9,9,1.0,1.0,24,14
1,16,2.9,10,1.0,2.0,24,15
1,16,2.9,10,0.5,0.0,37,0
1,16,2.9,10,0.6,1.0,37,1
1,16,2.9,10,0.7,1.0,34,4
1,16,2.9,10,0.8,1.0,30,8
1,16,2.9,10,0.9,1.0,29,9
1,16,2.9,10,1.0,2.0,24,15
2,1,2.9,10,1.0,20.0,37,20
2,2,2.9,10,1.0,18.0,37,18
2,3,2.9,10,1.0,18.0,37,18
2,4,2.9,10,1.0,19.0,37,19
2,5,2.9,10,1.0,19.0,37,19
2,6,2.9,10,1.0,21.0,37,21
2,7,2.9,10,1.0,22.0,37,22
2,8,2.9,10,1.0,21.0,37,21
2,9,2.9,10,1.0,20.0,37,20
2,10,2.9,10,1.0,20.0,37,20
2,11,2.9,10,1.0,19.0,37,19
2,12,2.9,10,1.0,19.0,37,19
2,13,2.9,10,1.0,19.0,37,19
2,14,2.9,10,1.0,19.0,37,19
2,15,2.9,10,1.0,20.0,37,20
2,16,2.9,10,1.0,20.0,37,20
2,16,1.0,10,1.0,29.0,29,37
2,16,1.1,10,1.0,29.0,29,37
2,16,1.2,10,1.0,31.0,31,37
2,16,1.3,10,1.0,32.0,32,37
2,16,1.4,10,1.0,32.0,32,37
2,16,1.5,10,1.0,33.0,33,37
2,16,1.6,10,1.0,32.0,34,35
2,16,1.7,10,1.0,32.0,34,35
2,16,1.8,10,1.0,33.0,35,35
2,16,1.9,10,1.0,32.0,35,34
2,16,2.0,10,1.0,32.0,35,34
2,16,2.1,10,1.0,32.0,35,34
2,16,2.2,10,1.0,32.0,35,34
2,16,2.3,10,1.0,32.0,35,34
2,16,2.4,10,1.0,31.0,35,33
2,16,2.5,10,1.0,31.0,35,33
2,16,2.6,10,1.0,31.0,35,33
2,16,2.7,10,1.0,30.0,35,32
2,16,2.8,10,1.0,30.0,35,32
2,16,2.9,10,1.0,29.0,35,31
2,16,2.9,5,1.0,1.0,33,5
2,16,2.9,6,1.0,2.0,32,7
2,16,2.9,7,1.0,3.0,31,9
2,16,2.9,8,1.0,2.0,32,7
2,16,2.9,9,1.0,2.0,29,10
2,16,2.9,10,1.0,3.0,28,12
2,16,2.9,10,0.5,0.0,37,0
2,16,2.9,10,0.6,2.0,37,2
2,16,2.9,10,0.7,1.0,35,3
2,16,2.9,10,0.8,2.0,34,5
2,16,2.9,10,0.9,2.0,34,5
2,16,2.9,10,1.0,3.0,28,12
3,1,2.9,10,1.0,17.0,38,18
3,2,2.9,10,1.0,20.0,37,22
3,3,2.9,10,1.0,19.0,37,21
3,4,2.9,10,1.0,21.0,37,23
3,5,2.9,10,1.0,22.0,37,24
3,6,2.9,10,1.0,21.0,37,23
3,7,2.9,10,1.0,22.0,37,24
3,8,2.9,10,1.0,22.0,38,23
3,9,2.9,10,1.0,20.0,38,21
3,10,2.9,10,1.0,20.0,38,21
3,11,2.9,10,1.0,20.0,38,21
3,12,2.9,10,1.0,20.0,38,21
3,13,2.9,10,1.0,18.0,38,19
3,14,2.9,10,1.0,18.0,38,19
3,15,2.9,10,1.0,18.0,38,19
3,16,2.9,10,1.0,19.0,38,20
3,16,1.0,10,1.0,21.0,21,39
3,16,1.1,10,1.0,25.0,25,39
3,16,1.2,10,1.0,26.0,26,39
3,16,1.3,10,1.0,28.0,28,39
3,16,1.4,10,1.0,28.0,28,39
3,16,1.5,10,1.0,28.0,28,39
3,16,1.6,10,1.0,28.0,28,39
3,16,1.7,10,1.0,29.0,29,39
3,16,1.8,10,1.0,27.0,29,37
3,16,1.9,10,1.0,27.0,32,34
3,16,2.0,10,1.0,27.0,32,34
3,16,2.1,10,1.0,27.0,32,34
3,16,2.2,10,1.0,27.0,32,34
3,16,2.3,10,1.0,28.0,34,33
3,16,2.4,10,1.0,29.0,35,33
3,16,2.5,10,1.0,28.0,35,32
3,16,2.6,10,1.0,26.0,35,30
3,16,2.7,10,1.0,25.0,35,29
3,16,2.8,10,1.0,25.0,35,29
3,16,2.9,10,1.0,25.0,35,29
3,16,2.9,5,1.0,1.0,34,6
3,16,2.9,6,1.0,2.0,33,8
3,16,2.9,7,1.0,1.0,31,9
3,16,2.9,8,1.0,1.0,32,8
3,16,2.9,9,1.0,1.0,31,9
3,16,2.9,10,1.0,3.0,28,14
3,16,2.9,10,0.5,0.0,39,0
3,16,2.9,10,0.6,1.0,37,3
3,16,2.9,10,0.7,1.0,35,5
3,16,2.9,10,0.8,1.0,35,5
3,16,2.9,10,0.9,1.0,35,5
3,16,2.9,10,1.0,3.0,28,14
